number,value,datetime_start,datetime_complete,duration,params_batch,params_dp,params_lr,params_ls,params_out_c_mult,params_out_ch,params_wd,state
88,0.4178289877576285,2026-08-12 07:05:53.508991,2026-08-12 07:06:22.704486,0 days 00:00:29.195495,128,0.12391345964074853,0.0006053633734067652,0.3802469625789685,2,128,0.0012074470354797137,COMPLETE
89,0.41454304920143675,2026-08-12 07:06:22.758868,2026-08-12 07:06:47.956597,0 days 00:00:25.197729,128,0.15470228476751824,0.0006661298069158028,0.4015153405718305,2,128,0.00095001287753073,COMPLETE
90,0.42154171370251553,2026-08-12 07:06:48.017090,2026-08-12 07:07:01.971592,0 days 00:00:13.954502,512,0.10193792989248242,0.00041541406924092833,0.27265233197656485,1,128,0.0016595211709000853,COMPLETE
91,0.409512436053551,2026-08-12 07:07:02.033507,2026-08-12 07:07:26.731282,0 days 00:00:24.697775,128,0.4926010216316297,0.0005014364008198126,0.16326840962252046,2,64,0.002135440055697166,COMPLETE
92,0.41761518774360407,2026-08-12 07:07:26.785144,2026-08-12 07:07:45.553397,0 days 00:00:18.768253,256,0.18163390367295348,0.0005794900107560017,0.43182601100218604,1,128,0.0006993289654519593,COMPLETE
93,0.41188823883473397,2026-08-12 07:07:45.612859,2026-08-12 07:08:00.275818,0 days 00:00:14.662959,512,0.21298314013371555,0.0006992965513559229,0.3477747378597604,1,256,0.002460115231782051,COMPLETE
94,0.4146568208240406,2026-08-12 07:08:00.338238,2026-08-12 07:08:14.625478,0 days 00:00:14.287240,512,0.17164132958820166,0.0007512319220978535,0.4069043417055829,1,256,1.455676983371397e-05,COMPLETE
95,0.40669781885441675,2026-08-12 07:08:14.686644,2026-08-12 07:08:59.796211,0 days 00:00:45.109567,64,0.22594023220673404,0.000539968506574685,0.4763110921695313,1,128,0.0012413079622821915,COMPLETE
96,0.40516788386060426,2026-08-12 07:08:59.859599,2026-08-12 07:09:13.049924,0 days 00:00:13.190325,512,0.44456596534706183,0.0006335904540694146,0.36336158020351234,3,256,1.921181200382623e-05,COMPLETE
97,0.41412581961817113,2026-08-12 07:09:13.105904,2026-08-12 07:09:31.046819,0 days 00:00:17.940915,256,0.26246266436706156,0.0007979738133702019,0.33735292207346906,2,512,0.00046457428852233237,COMPLETE
98,0.4119251968342179,2026-08-12 07:09:31.101911,2026-08-12 07:09:49.469793,0 days 00:00:18.367882,256,0.1366487001043356,0.0007394905882483743,0.43032587433599656,1,128,3.0577234430562096e-05,COMPLETE
99,0.4178383234216438,2026-08-12 07:09:49.527174,2026-08-12 07:10:07.087458,0 days 00:00:17.560284,256,0.14331240502877093,0.0006951863029706922,0.4564724612316256,1,128,2.539758372587549e-05,COMPLETE
100,0.4157023215920401,2026-08-12 07:10:07.151998,2026-08-12 07:10:26.762418,0 days 00:00:19.610420,256,0.16385957519967023,0.0006324780453344012,0.38066933026970423,1,128,3.175141779538451e-05,COMPLETE
101,0.41689548712367147,2026-08-12 07:10:26.819959,2026-08-12 07:10:44.385306,0 days 00:00:17.565347,256,0.18830489484234839,0.0005661203562419606,0.4460665120995109,1,128,4.066907599684405e-05,COMPLETE
102,0.4159370872344337,2026-08-12 07:10:44.450146,2026-08-12 07:11:10.997571,0 days 00:00:26.547425,128,0.12989012959394328,0.000490603883103273,0.4293792155756164,1,256,0.0015447937975417523,COMPLETE
103,0.42445922247928836,2026-08-12 07:11:11.057691,2026-08-12 07:11:54.943382,0 days 00:00:43.885691,64,0.1999734973460471,0.0006679708378081785,0.41828937937123367,1,128,0.0010447388192587346,COMPLETE
104,0.4104483523888301,2026-08-12 07:11:55.001712,2026-08-12 07:12:38.001847,0 days 00:00:43.000135,64,0.20331099771337083,0.0006599032514955313,0.4088623223432257,1,32,0.0009710373229113113,COMPLETE
