number,value,datetime_start,datetime_complete,duration,params_accumulation,params_batch,params_dp,params_h_size,params_lr,params_ls,params_n_layers,params_wd,state
43,0.7383322208006021,2026-08-14 07:55:04.991702,2026-08-14 08:00:33.324304,0 days 00:05:28.332602,1,64,0.02927884397690158,512,0.00023392191182129092,0.003522397785516864,3,0.00020064442190793208,COMPLETE
44,0.7437200647540669,2026-08-14 08:00:33.382728,2026-08-14 08:03:25.849390,0 days 00:02:52.466662,1,64,0.3783394395466123,128,0.0001873067947538957,0.10050826990876749,3,0.0002476352007111754,COMPLETE
45,0.7396592712307328,2026-08-14 08:03:25.927183,2026-08-14 08:08:44.665152,0 days 00:05:18.737969,1,64,0.24677488627312794,512,0.00021979810615056512,0.0537162806240445,3,0.0001278654876212352,COMPLETE
46,0.7446472726538192,2026-08-14 08:08:44.746164,2026-08-14 08:12:17.954391,0 days 00:03:33.208227,1,128,0.13191678012611827,512,6.0240729545887e-05,0.03558180559080079,2,7.953469739640697e-05,COMPLETE
47,0.7505995687384326,2026-08-14 08:12:18.039346,2026-08-14 08:17:31.198962,0 days 00:05:13.159616,1,64,0.0211992731053572,512,0.0002410306235810316,0.08933666181296734,3,0.00011852807549325141,COMPLETE
48,,2026-08-14 08:17:31.290018,2026-08-14 08:18:39.166928,0 days 00:01:07.876910,4,128,0.07083978492098227,32,0.00017139704410584782,0.1769511730527083,3,6.38574288578408e-05,FAIL
49,0.6546023087029595,2026-08-14 08:18:49.701734,2026-08-14 08:21:06.086491,0 days 00:02:16.384757,4,128,0.07016286127345661,128,0.00016901883636267367,0.11275953909226648,3,0.0001608312191293836,COMPLETE
50,0.7478254241107289,2026-08-14 08:21:06.152413,2026-08-14 08:35:15.454966,0 days 00:14:09.302553,1,32,0.11028136368469021,512,8.258570358263372e-05,0.028095236729334533,3,0.00010157986806428854,COMPLETE
51,0.6703879750404751,2026-08-14 08:35:15.538052,2026-08-14 08:40:20.733022,0 days 00:05:05.194970,2,64,0.15620325107831345,32,9.94292481142039e-05,0.17788695346103162,2,6.127336269427362e-05,COMPLETE
52,0.7562863545156613,2026-08-14 08:40:21.926628,2026-08-14 08:42:40.410651,0 days 00:02:18.484023,1,128,0.08539795553366995,64,0.0002497127511656947,0.21752725639704557,1,8.907020986599974e-05,COMPLETE
53,0.7406739255830493,2026-08-14 08:42:40.606731,2026-08-14 08:44:46.996679,0 days 00:02:06.389948,1,128,0.08827869783222816,64,0.00021340228730568994,0.20807079436428091,1,7.360853371095254e-05,COMPLETE
54,0.7491395437612682,2026-08-14 08:44:47.126671,2026-08-14 08:47:08.279031,0 days 00:02:21.152360,1,128,0.06992330768866206,64,0.0002495196132802258,0.23330675237470558,1,8.616718402852594e-05,COMPLETE
55,0.7401907784141598,2026-08-14 08:47:08.375714,2026-08-14 08:49:20.188209,0 days 00:02:11.812495,1,128,0.020305426533365728,64,0.0002318657010420472,0.294364096914429,1,8.965373395002783e-05,COMPLETE
56,0.7494418415555074,2026-08-14 08:49:20.249199,2026-08-14 08:51:36.494910,0 days 00:02:16.245711,1,128,0.11069633808958852,64,0.0001952966312654327,0.14871461702322775,1,6.746624925580552e-05,COMPLETE
