recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [g],acceleration y [g],acceleration z [g],roll [deg],pitch [deg],yaw [deg],quaternion x,quaternion y,quaternion z,quaternion w
bb09b488-e875-448b-9801-156d15b3962c,1775725061721667338,-0.5130768,-5.8231354,2.23732,-0.09765624,-0.7163086,0.69677734,8.449050177089362,-44.36407611219468,36.534187175818516,-0.37893113,-0.05324508,0.26304924,0.88565284
bb09b488-e875-448b-9801-156d15b3962c,1775725061731884338,-0.6351471,-4.846573,1.996994,-0.10986328,-0.7216797,0.7080078,8.423252679390314,-44.37578592305595,36.363124703604484,-0.37904003,-0.052910957,0.26179355,0.88599825
bb09b488-e875-448b-9801-156d15b3962c,1775725061743504338,-0.08201599,-4.3582916,1.6307831,-0.083007805,-0.71777344,0.7158203,8.392285005333324,-44.3825598338257,36.179359679006616,-0.3791054,-0.05256109,0.2604641,0.8863828
bb09b488-e875-448b-9801-156d15b3962c,1775725061755123338,-0.45013428,-3.8070679,1.4476776,-0.09179687,-0.7163086,0.7060547,8.356855857264168,-44.390017490870974,35.9814919290899,-0.37917212,-0.052200854,0.25903866,0.8867932
bb09b488-e875-448b-9801-156d15b3962c,1775725061766742338,-0.14686584,-3.1986237,0.71525574,-0.099609375,-0.72216797,0.7109375,8.329335073449144,-44.39884973057789,35.78225243378539,-0.37926754,-0.051778473,0.25757363,0.8872038
bb09b488-e875-448b-9801-156d15b3962c,1775725061776940338,-0.024795532,-3.1986237,0.83732605,-0.09082031,-0.7246094,0.70996094,8.276882062140825,-44.404549541487874,35.467962547358674,-0.37933463,-0.05115977,0.2553041,0.88786674
bb09b488-e875-448b-9801-156d15b3962c,1775725061787140338,-0.08392334,-3.0136108,0.4711151,-0.087890625,-0.7265625,0.71484375,8.248028463864397,-44.40895841061064,35.27946020664259,-0.3793879,-0.050771125,0.2539319,0.8882597
bb09b488-e875-448b-9801-156d15b3962c,1775725061797340338,-0.08392334,-2.8915405,0.41007996,-0.09619139,-0.72216797,0.70751953,8.224192314815381,-44.4172504919719,35.09000385529619,-0.3794819,-0.050350673,0.2525291,0.8886433
bb09b488-e875-448b-9801-156d15b3962c,1775725061805149338,-0.63323975,-2.4032593,0.22697449,-0.099121094,-0.72314453,0.6982422,8.197618472916686,-44.43183410462491,34.89808657466427,-0.37961856,-0.04995974,0.25110605,0.8890102
bb09b488-e875-448b-9801-156d15b3962c,1775725061812960338,-0.9384155,-2.0370483,-0.5054474,-0.09082031,-0.7236328,0.6953125,8.173689057995974,-44.44759109845846,34.69757519121009,-0.37977335,-0.049522545,0.24960524,0.88939106
bb09b488-e875-448b-9801-156d15b3962c,1775725061820771338,-1.0604858,-1.4266968,-0.749588,-0.084472656,-0.71777344,0.69091797,8.149840581797399,-44.47076767464109,34.48344541682367,-0.37999037,-0.04905854,0.24798658,0.8897768
bb09b488-e875-448b-9801-156d15b3962c,1775725061828582338,-1.6708374,-0.32806396,-1.2378693,-0.08984375,-0.7182617,0.6958008,8.128948062033889,-44.49761392387085,34.28418602102441,-0.380235,-0.048629776,0.24646753,0.8901178
bb09b488-e875-448b-9801-156d15b3962c,1775725061840063338,-2.5253296,-0.022888184,-2.035141,-0.08935546,-0.71484375,0.6977539,8.10716219314875,-44.53206415943368,34.08894008848676,-0.38053373,-0.0482402,0.24497077,0.89042455
bb09b488-e875-448b-9801-156d15b3962c,1775725061851544338,-2.9525757,0.64849854,-2.4585724,-0.10058594,-0.71777344,0.7290039,8.090415097885868,-44.564157020823544,33.89993315992983,-0.38082227,-0.047825202,0.24350902,0.8907244
bb09b488-e875-448b-9801-156d15b3962c,1775725061863025338,-2.8324127,1.6880035,-3.1909943,-0.10351562,-0.7285156,0.72265625,8.074320403950734,-44.593082291014916,33.69230544035386,-0.38109535,-0.04733425,0.24190481,0.8910709
bb09b488-e875-448b-9801-156d15b3962c,1775725061873157338,-1.6098022,2.2354126,-4.228592,-0.102539055,-0.71533203,0.7402344,8.043143401040487,-44.62995181089073,33.25065924245465,-0.38149214,-0.046200976,0.23851763,0.89187336
bb09b488-e875-448b-9801-156d15b3962c,1775725061883290338,-0.63323975,1.9302368,-4.6596527,-0.09277343,-0.7128906,0.73535156,8.014254349872566,-44.63312216080244,33.01651343384363,-0.3815503,-0.045654297,0.23678625,0.8923378
bb09b488-e875-448b-9801-156d15b3962c,1775725061893423338,-0.2670288,1.7471313,-5.083084,-0.10888671,-0.7182617,0.7265625,7.992096708406583,-44.63607079276009,32.778196462413725,-0.3816216,-0.04504068,0.23499939,0.89281076
bb09b488-e875-448b-9801-156d15b3962c,1775725061901047338,0.09918213,1.991272,-5.2051544,-0.10107421,-0.7060547,0.7207031,7.964921430581368,-44.634960336557135,32.5625751952089,-0.3816418,-0.0445316,0.23341115,0.89324415
bb09b488-e875-448b-9801-156d15b3962c,1775725061908673338,0.34332275,0.9536743,-5.2661896,-0.10595702,-0.70703125,0.7192383,7.931384324092993,-44.6343233545633,32.356681128784835,-0.38164845,-0.04410578,0.23191845,0.8936511
bb09b488-e875-448b-9801-156d15b3962c,1775725061916299338,-0.08201599,1.3790131,-5.9986115,-0.091308594,-0.7055664,0.70214844,7.896831421571104,-44.63903891288102,32.153141091844404,-0.38169292,-0.043708954,0.23043902,0.89403427
bb09b488-e875-448b-9801-156d15b3962c,1775725061923925338,-0.9994507,1.991272,-6.303787,-0.102050774,-0.7084961,0.6899414,7.862808950411145,-44.65887599925352,31.95668607712619,-0.38185164,-0.043368384,0.22899067,0.8943551
bb09b488-e875-448b-9801-156d15b3962c,1775725061935623338,-1.9760132,2.1133423,-7.1582794,-0.09472656,-0.7036133,0.6899414,7.831644847231971,-44.68813230311696,31.758641923617652,-0.38208896,-0.04302255,0.22750652,0.8946492
bb09b488-e875-448b-9801-156d15b3962c,1775725061947321338,-2.9525757,2.6626587,-7.4062347,-0.10107421,-0.7060547,0.6958008,7.797187155443929,-44.72630632762368,31.548236938700377,-0.38239285,-0.04268191,0.22592384,0.89493674
bb09b488-e875-448b-9801-156d15b3962c,1775725061959019338,-3.7460327,2.9678345,-8.134842,-0.10742187,-0.7114258,0.69873047,7.762222227701858,-44.76692853912904,31.315117329699977,-0.38272294,-0.04227417,0.22416174,0.895258
bb09b488-e875-448b-9801-156d15b3962c,1775725061969237338,-4.0512085,2.7236938,-9.29451,-0.114257805,-0.7001953,0.69970703,7.684616371692314,-44.85655211298555,30.81935394267225,-0.38344318,-0.04143589,0.22041997,0.89591783
bb09b488-e875-448b-9801-156d15b3962c,1775725061979455338,-4.2972565,2.538681,-9.725571,-0.102050774,-0.71435547,0.7006836,7.635489190984332,-44.9028105321893,30.581487424442614,-0.38379103,-0.04113222,0.21865967,0.8962142
bb09b488-e875-448b-9801-156d15b3962c,1775725061989673338,-4.0512085,1.625061,-10.149002,-0.11669921,-0.7158203,0.70947266,7.57927333263817,-44.94912677943949,30.33497323923363,-0.38412932,-0.04085375,0.21685535,0.8965204
bb09b488-e875-448b-9801-156d15b3962c,1775725061999721338,-4.234314,1.1367798,-10.213852,-0.10302734,-0.70947266,0.7109375,7.51387621801884,-44.99526513269158,30.07957513176413,-0.3844526,-0.040615495,0.21501249,0.8968364
bb09b488-e875-448b-9801-156d15b3962c,1775725062009771338,-4.114151,0.71144104,-10.759354,-0.103027344,-0.7211914,0.7055664,7.4387432452495625,-45.03691651631074,29.825662874390897,-0.3847234,-0.040446803,0.21322006,0.8971558
bb09b488-e875-448b-9801-156d15b3962c,1775725062019821338,-4.0512085,0.22125244,-11.125565,-0.102050774,-0.70458984,0.70947266,7.353698036857214,-45.0827049560358,29.574828574983332,-0.38500774,-0.040374238,0.21147938,0.8974491
bb09b488-e875-448b-9801-156d15b3962c,1775725062028862338,-3.9310455,-2.2220612,-11.796951,-0.08886718,-0.70458984,0.7036133,7.143619719049799,-45.16903856422694,28.995743754314205,-0.3854946,-0.040266525,0.20753312,0.8981659
bb09b488-e875-448b-9801-156d15b3962c,1775725062037903338,-3.6849976,-3.2577515,-12.102127,-0.08886718,-0.7109375,0.6977539,7.017586039253333,-45.21799044350363,28.731328863243153,-0.38573912,-0.040472656,0.20582002,0.8984458
