recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
bb09b488-e875-448b-9801-156d15b3962c,95,1775725098677000338,1775725098787125338,110.125,0.54644114,1185.9209,2006.3466
bb09b488-e875-448b-9801-156d15b3962c,96,1775725098887255338,1775725099077374338,190.119,1.5559957,1372.2408,2392.0874
bb09b488-e875-448b-9801-156d15b3962c,97,1775725099182498338,1775725099637871338,455.373,0.81709254,1290.3138,2593.0806
bb09b488-e875-448b-9801-156d15b3962c,98,1775725099737996338,1775725099752996338,15.0,1.0016636,1373.5334,1946.2251
bb09b488-e875-448b-9801-156d15b3962c,99,1775725099833121338,1775725100633867338,800.746,4.388371,1417.149,2956.4585
bb09b488-e875-448b-9801-156d15b3962c,100,1775725100723868338,1775725101884987338,1161.119,1.593498,1418.6519,4176.1636
bb09b488-e875-448b-9801-156d15b3962c,101,1775725102000112338,1775725102465485338,465.373,1.2787743,1322.7384,2795.7231
bb09b488-e875-448b-9801-156d15b3962c,102,1775725102550610338,1775725102730734338,180.124,2.8118412,1503.2145,2616.3032
bb09b488-e875-448b-9801-156d15b3962c,103,1775725102855858338,1775725103156117338,300.259,3.0370934,1468.7112,2462.667
bb09b488-e875-448b-9801-156d15b3962c,104,1775725103366356338,1775725104117103338,750.747,1.0275187,1411.7574,3111.8833
bb09b488-e875-448b-9801-156d15b3962c,105,1775725104217102338,1775725105213098338,995.996,1.108709,1447.8154,3003.936
bb09b488-e875-448b-9801-156d15b3962c,106,1775725105338223338,1775725106238975338,900.752,26.239555,1916.8282,8928.218
bb09b488-e875-448b-9801-156d15b3962c,107,1775725106329094338,1775725106379219338,50.125,2.8349423,1541.1,2654.8315
bb09b488-e875-448b-9801-156d15b3962c,108,1775725106474229338,1775725106879591338,405.362,10.6778755,2672.5803,8918.239
bb09b488-e875-448b-9801-156d15b3962c,109,1775725106964719338,1775725107815471338,850.752,11.023677,1724.7146,6217.5225
bb09b488-e875-448b-9801-156d15b3962c,110,1775725107895587338,1775725108976582338,1080.995,10.897247,1726.3528,5321.9087
bb09b488-e875-448b-9801-156d15b3962c,111,1775725109136707338,1775725109216832338,80.125,4.973749,1651.2211,3816.676
bb09b488-e875-448b-9801-156d15b3962c,112,1775725109361956338,1775725109457080338,95.124,1.6690115,973.6684,1410.0936
bb09b488-e875-448b-9801-156d15b3962c,113,1775725109612205338,1775725109632205338,20.0,1.4050401,1070.1324,1503.3964
bb09b488-e875-448b-9801-156d15b3962c,114,1775725109917453338,1775725110122706338,205.253,1.0564345,1021.975,1538.6813
bb09b488-e875-448b-9801-156d15b3962c,115,1775725110352827338,1775725110377828338,25.001,1.2914383,1091.0951,1746.208
bb09b488-e875-448b-9801-156d15b3962c,116,1775725110818325338,1775725112504817338,1686.492,5.097907,2186.1047,8715.011
bb09b488-e875-448b-9801-156d15b3962c,117,1775725112634953338,1775725113335566338,700.613,13.619735,2163.9321,8607.05
bb09b488-e875-448b-9801-156d15b3962c,118,1775725113420692338,1775725113710937338,290.245,1.2014862,1392.9617,2738.9988
bb09b488-e875-448b-9801-156d15b3962c,119,1775725113801073338,1775725114346559338,545.486,1.0950346,2290.6648,7444.448
bb09b488-e875-448b-9801-156d15b3962c,120,1775725114436685338,1775725114837058338,400.373,0.9460149,1491.0999,2685.0034
bb09b488-e875-448b-9801-156d15b3962c,121,1775725114957182338,1775725115082306338,125.124,1.4226869,1217.5188,2045.7579
bb09b488-e875-448b-9801-156d15b3962c,122,1775725115197306338,1775725115242431338,45.125,0.16414177,1430.7849,2162.3162
bb09b488-e875-448b-9801-156d15b3962c,123,1775725115352555338,1775725115397555338,45.0,2.4430683,1139.5184,1707.598
bb09b488-e875-448b-9801-156d15b3962c,124,1775725115577679338,1775725115597679338,20.0,1.4031008,1373.1208,2174.4426
bb09b488-e875-448b-9801-156d15b3962c,125,1775725115742803338,1775725116213301338,470.498,13.5247965,1860.6498,6668.7256
bb09b488-e875-448b-9801-156d15b3962c,126,1775725116353426338,1775725116373426338,20.0,1.213156,1508.7963,1752.0537
bb09b488-e875-448b-9801-156d15b3962c,127,1775725116473550338,1775725117099173338,625.623,1.6197681,3020.7578,9723.567
bb09b488-e875-448b-9801-156d15b3962c,128,1775725117359421338,1775725117534546338,175.125,2.217073,1339.776,3219.9648
bb09b488-e875-448b-9801-156d15b3962c,129,1775725117624556338,1775725118040043338,415.487,2.170834,1340.7286,2837.8442
bb09b488-e875-448b-9801-156d15b3962c,130,1775725118200168338,1775725118520416338,320.248,20.491673,3017.3972,7795.213
bb09b488-e875-448b-9801-156d15b3962c,131,1775725118665541338,1775725118775665338,110.124,2.6634738,1680.5364,2958.899
bb09b488-e875-448b-9801-156d15b3962c,132,1775725118955789338,1775725119356163338,400.374,3.5816035,1463.6052,2741.6682
bb09b488-e875-448b-9801-156d15b3962c,133,1775725119441287338,1775725119726536338,285.249,1.471974,1340.659,2844.9753
bb09b488-e875-448b-9801-156d15b3962c,134,1775725119841661338,1775725120192034338,350.373,2.3163528,1516.8114,3463.4138
bb09b488-e875-448b-9801-156d15b3962c,135,1775725120277039338,1775725120572407338,295.368,2.623961,1188.3044,1870.3312
bb09b488-e875-448b-9801-156d15b3962c,136,1775725120682407338,1775725121498153338,815.746,2.695004,1354.612,2702.01
bb09b488-e875-448b-9801-156d15b3962c,137,1775725121598278338,1775725121918651338,320.373,3.675648,1562.7485,3529.2258
bb09b488-e875-448b-9801-156d15b3962c,138,1775725122028651338,1775725122273900338,245.249,4.2267146,1694.241,3755.0608
bb09b488-e875-448b-9801-156d15b3962c,139,1775725122369024338,1775725122924522338,555.498,4.934775,2363.8862,7991.9175
bb09b488-e875-448b-9801-156d15b3962c,140,1775725123054656338,1775725123099646338,44.99,4.8488984,1708.3684,4147.3086
bb09b488-e875-448b-9801-156d15b3962c,141,1775725123209771338,1775725123465020338,255.249,10.426554,1931.4751,6909.839
bb09b488-e875-448b-9801-156d15b3962c,142,1775725123540152338,1775725124270766338,730.614,5.2676435,1801.9458,5034.338
bb09b488-e875-448b-9801-156d15b3962c,143,1775725124345891338,1775725124646144338,300.253,9.103214,1821.0762,4874.5693
bb09b488-e875-448b-9801-156d15b3962c,144,1775725124881388338,1775725124901388338,20.0,1.9259385,1260.6116,1643.7167
bb09b488-e875-448b-9801-156d15b3962c,145,1775725125041513338,1775725125481893338,440.38,21.375565,3790.07,16881.7
bb09b488-e875-448b-9801-156d15b3962c,146,1775725125622010338,1775725125717135338,95.125,2.4251213,2397.5415,4976.0645
bb09b488-e875-448b-9801-156d15b3962c,147,1775725125817259338,1775725126302632338,485.373,7.0072436,1868.6798,3846.3716
bb09b488-e875-448b-9801-156d15b3962c,148,1775725126387757338,1775725126407757338,20.0,1.6972442,1312.4904,1952.6382
bb09b488-e875-448b-9801-156d15b3962c,149,1775725126507881338,1775725126813130338,305.249,31.162653,3767.7104,11986.932
bb09b488-e875-448b-9801-156d15b3962c,150,1775725126903254338,1775725126923254338,20.0,1.8241779,1974.6089,2797.8162
bb09b488-e875-448b-9801-156d15b3962c,151,1775725127023379338,1775725127418752338,395.373,12.449773,2583.4436,8379.085
bb09b488-e875-448b-9801-156d15b3962c,152,1775725127508752338,1775725127578876338,70.124,2.2170603,1339.9664,2998.0518
bb09b488-e875-448b-9801-156d15b3962c,153,1775725127739001338,1775725128074257338,335.256,22.48528,5048.095,15086.473
bb09b488-e875-448b-9801-156d15b3962c,154,1775725128149374338,1775725128349624338,200.25,6.836493,1727.3147,2526.096
bb09b488-e875-448b-9801-156d15b3962c,155,1775725128454622338,1775725128900120338,445.498,5.7899976,1814.9585,5401.848
bb09b488-e875-448b-9801-156d15b3962c,156,1775725128990120338,1775725130211239338,1221.119,15.264442,2627.22,9577.863
bb09b488-e875-448b-9801-156d15b3962c,157,1775725130341364338,1775725130741737338,400.373,2.0981424,2557.6306,7650.8105
bb09b488-e875-448b-9801-156d15b3962c,158,1775725131011986338,1775725131312359338,300.373,19.123491,2683.619,8249.457
bb09b488-e875-448b-9801-156d15b3962c,159,1775725131407359338,1775725131777741338,370.382,4.8490024,3298.2375,9873.021
bb09b488-e875-448b-9801-156d15b3962c,160,1775725132012997338,1775725132088106338,75.109,0.71038496,1617.4167,2325.2136
bb09b488-e875-448b-9801-156d15b3962c,161,1775725132233230338,1775725132313230338,80.0,1.0641421,1594.5957,2507.6775
bb09b488-e875-448b-9801-156d15b3962c,162,1775725132423355338,1775725132663603338,240.248,17.616882,4451.3096,9870.131
bb09b488-e875-448b-9801-156d15b3962c,163,1775725132748615338,1775725132763728338,15.113,1.9131911,1715.4031,2009.9375
bb09b488-e875-448b-9801-156d15b3962c,164,1775725132883727338,1775725132958852338,75.125,3.2739806,1657.1062,2967.1477
bb09b488-e875-448b-9801-156d15b3962c,165,1775725133068976338,1775725133374225338,305.249,5.325955,2617.8892,7456.319
bb09b488-e875-448b-9801-156d15b3962c,166,1775725133464350338,1775725133749598338,285.248,0.8660685,3009.349,10105.546
bb09b488-e875-448b-9801-156d15b3962c,167,1775725133939722338,1775725134054850338,115.128,1.3775362,1215.9559,2162.3403
bb09b488-e875-448b-9801-156d15b3962c,168,1775725134134971338,1775725134250096338,115.125,3.4781334,1353.5043,2215.9492
bb09b488-e875-448b-9801-156d15b3962c,169,1775725134395220338,1775725134500345338,105.125,2.5922284,1358.4756,2439.7566
bb09b488-e875-448b-9801-156d15b3962c,170,1775725134840593338,1775725135376091338,535.498,2.194116,2089.3618,5463.4976
bb09b488-e875-448b-9801-156d15b3962c,171,1775725135511215338,1775725135531218338,20.003,1.5823014,1059.3877,1454.2472
bb09b488-e875-448b-9801-156d15b3962c,172,1775725135641340338,1775725135681339338,39.999,4.0822525,1580.3733,2026.7452
bb09b488-e875-448b-9801-156d15b3962c,173,1775725135846589338,1775725135876589338,30.0,2.1131725,1072.431,1378.492
bb09b488-e875-448b-9801-156d15b3962c,174,1775725136106838338,1775725136136838338,30.0,3.017741,1409.9927,2001.3033
bb09b488-e875-448b-9801-156d15b3962c,175,1775725136291962338,1775725137017583338,725.621,13.445679,2601.0798,7439.04
bb09b488-e875-448b-9801-156d15b3962c,176,1775725137167708338,1775725137317957338,150.249,1.866573,1629.5077,3501.9753
bb09b488-e875-448b-9801-156d15b3962c,177,1775725137483081338,1775725137583206338,100.125,2.8260326,1623.6086,3683.5542
bb09b488-e875-448b-9801-156d15b3962c,178,1775725137768330338,1775725137788333338,20.003,1.2567003,1098.8967,1874.7266
